text,title
" In a medium bowl combine the buttermilk, mayo, chives, salt, garlic powder, onion powder, parsley, basil and black pepper and mix.Add the shredded chicken and mix well. Refrigerate until ready to eat.",Ranch Chicken Salad
"
Air Fryer Directions:
 In a medium bowl, combine avocado, lime juice, sundried tomatoes, onion, cilantro, salt and pepper, to taste. Gently toss to combine. One at a time, place egg roll wrapper on a clean surface, points facing top and bottom like a diamond. Spoon 14 cup mixture onto the bottom third of the wrapper. Dip your finger in a small bowl of water and run it along the edges of the wrapper. Lift the point nearest you and wrap it around the filling. Fold the left and right corners in toward the center and continue to roll into a tight cylinder. Set aside and repeat with remaining wrappers and filling. Spray all sides of the egg rolls with oil. Preheat the air fryer to 400F. In batches, cook 400F for 6 minutes, turning halfway through, or until golden. Meanwhile, in a small bowl, combine mayonnaise, sweet chili sauce and sriracha and serve on the side for dipping.
To Bake In The Oven:
 Preheat the oven to 400F. Spray a sheet pan with oil.Transfer the egg rolls to the baking sheet and cook until browned and crisp, about 16 to 18 minutes, turning halfway.",Avocado Egg Rolls with Sweet and Spicy Dipping Sauce
" Preheat oven to 425F. Spray the oil in a 10-inch cast-iron skillet and warm over medium-high heat. When hot place one tortilla in the pan. Reduce heat to medium and let cook for 1 minute. Flip the tortilla and cook for an additional minute while you add 2 tablespoons of sauce, spreading it all the way to the tortillas edge. Remove the pan from the heat and add the cheese or any toppings of your choice, reserving fresh herbs to finish. Transfer the pan to the oven and bake for 2 to 4 minutes, or until the edges of the tortilla are golden brown but not burned (if youre not using cheese, check on the early side). Transfer the pan back to the stove and cook for another 1 to 2 minutes over medium heat, until the bottom is browned, but not burned. Transfer the pizza to a plate and let it cool slightly. Top with fresh herbs, if using.Repeat with second pizza and serve.",Quickest Cast-Iron Thin Crust Pizza
" One at a time, place all 6 of the tortillas directly over the flame of the burner over medium heat 20 to 30 seconds per side, until slightly charred. Set 4 aside on a plate with a dish towel over them to keep them warm until ready to serve, cut the remaining 2 in half, then chop into 1/2 inch thick strips. Place the eggs in a medium bowl, season with salt and pepper, and whisk to combine. Heat 1 teaspoon of the oil in a 10-inch nonstick skillet over medium heat. Add the 2 chopped tortillas and cook, stirring until crisp, about 4 minutes. Set aside. Add the remaining oil to the skillet, then add the onion, tomato, jalapeno, cilantro and season with salt and pepper, cook until soft and translucent, about 4 minutes stirring. When the onion is ready add the eggs and cook 3 to 4 minutes until the eggs are almost set, stirring a few times to scramble, then stir in the tortillas. Stir and cook 1 more minute. Remove from heat and top with cheese, fresh salsa, avocado, hot sauce and cilantro for garnish.Serve with warmed tortillas.",Tex-Mex Migas
"
For the graham cracker crust (you can also use a pre-made crust if you prefer):
 Place graham crackers, butter and sugar into a food processor and pulse a few times. Add 1 tbsp water and pulse a few more times until it has a texture of coarse meal. Press into an 8-inch pie dish making the crust about 1/8-inch thick evenly all around and up the sides. Refrigerate the crust for 30 minutes before you bake it, this will help prevent crumbling when you want to serve it. Preheat oven to 375F. Bake until the edges are golden, about 8 to 10 minutes. Remove from the oven and let the crust cool on a wire rack, before filling.
Key Lime Filling:
 In a small bowl combine 2 tablespoons of the lime juice with the gelatin and stir. Warm the remaining 6 tablespoons of key lime juice for 30 to 45 seconds in the microwave (this is to dissolve the gelatin, dont let it boil) and quickly mix well to dissolve the gelatin. In a large bowl with a hand mixer combine the cream cheese, yogurt, sugar and lime zest. Mix well, then add in the key lime juice and mix well, until fully incorporated, then pour into graham cracker crust. Chill pie thoroughly, at least 1 hour before serving.Garnish with key lime slices and whipped cream, optional, if desired.",Key Lime Yogurt Pie
" Preheat oven to 425F. Spray a large baking sheet lightly with spray. Combine breadcrumbs and parmesan cheese in a bowl. Beat the egg in another bowl. Dip the chicken into the eggs, then into the breadcrumb mixture. Discard the remaining crumbs. Place the chicken on the prepared baking sheet, lightly spray the top with oil and bake in the oven for 25 minutes, do not turn. When done, remove from the oven and reduce oven temp to 400F. Meanwhile, combine the ricotta, parmesan cheese, and basil in a medium bowl. In a 9 x 13 x 3-inch Pyrex Deep baking dish, ladle 3/4 cup of marinara on the bottom of the dish. Arrange 3 lasagna noodles across the dish (they will expand as they cook), top with 3/4 cup sauce, 4 pieces of chicken, 1/4 of the ricotta cheese mixture, 1/2 cup mozzarella cheese, 3/4 cup spinach. Repeat the 2nd layer, skipping the chicken. Repeat the 3rd layer with the chicken, and the 4th layer without the chicken. For the 5th layer, spread the last 3 sheets of pasta noodles with the remaining 1 1/2 cups of marinara sauce on top. Cover with foil and bake in a 400F preheated oven in the center rack 50 minutes. Uncover, add the remaining cup of mozzarella and bake until melted, 5 minutes.Remove from oven and let it rest 15 minutes before serving.",Chicken Parmesan Lasagna
" Lightly season the chicken with salt. In a small bowl, combine chicken broth and soy sauce. In a second small bowl combine the cornstarch and water and mix well to combine. Heat a large non-stick wok over medium-high heat, when hot add 1 teaspoon of the oil, then add the asparagus and cook until tender-crisp, about 3 to 4 minutes. Add the garlic and ginger and cook until golden, about 1 minute. Set aside. Increase the heat to high, then add 1 teaspoon of oil and half of the chicken and cook until browned and cooked through, about 4 minutes on each side. Remove and set aside and repeat with the remaining oil and chicken. Set aside. Add the soy sauce mixture; bring to a boil and cook about 1-1/2 minutes.Add lemon juice and cornstarch mixture and stir well, when it simmers return the chicken and asparagus to the wok and mix well, remove from heat and serve.",Chicken and Asparagus Lemon Stir Fry
" Preheat the oven to 350F. In a small bowl combine 2 tbsp of the ketchup with Worcestershire sauce. In a small skillet, heat olive oil and onion on low heat until translucent, 3 to 5 minutes, remove from heat. In a medium bowl combine the turkey, onion, breadcrumbs, egg, 1/4 cup ketchup, salt and marjoram. Place mixture into a loaf pan or shape into a loaf and place on a baking pan. Spoon sauce on top.Bake uncovered for 55-60 minutes, remove from oven and let it sit for 5 minutes before slicing.",Turkey Meatloaf
" Combine all the sauce ingredients in a medium bowl and mix well. Sit at room temperature while preparing the mussels. Place mussels in a colander and rinse them under cold water to remove any sand. Scrub them with a stiff brush under cold running water to remove any sand. The shells will be closed until you cook them, discard any cracked shells. To debeard, use your fingers to firmly pull out the hairy filaments. Clean off the outsides with a brush to remove any barnacles or dirt. Place 3/4 cups of water and 3/4 cup of white wine in a large pot and bring to boil. Add the mussels, cover and steam until the mussels all open, 5 to 6 minutes. Carefully drain water and divide in 4 bowls.Top the mussels with the Piri Piri and enjoy!",Steamed Mussels with Piri Piri Sauce
" Place the parchment paper down on your work surface. Layer 6 to 7 large leaves of lettuce in the middle of parchment paper so that you create a lettuce base about 9 inches by 10 inches. Spread the mayo in the center of the lettuce wrap. Layer with the chicken or turkey, bacon and tomato. Starting with the end closest to you, roll the lettuce wraps jelly roll style using the parchment as your base as tight as possible. Halfway through rolling, tuck the ends of the wraps towards the middle. Continue to roll the lettuce wrap, keeping it as tight as possible and using the parchment paper to guide you. When it is completely wrapped, roll the remainder of the parchment around the lettuce tightly.Using a serrated knife, cut the lettuce wrap almost completely, leaving a small piece of the parchment intact to help hold it together.",Chicken Club Lettuce Wrap Sandwich
" Make peanut sauce: Combine all ingredients in a small bowl. Whisk until smooth. Set aside.Make vinaigrette: Combine all ingredients in another small bowl. Whisk until smooth. Set aside. Preheat outdoor grill or grill pan over medium-high heat. Place chicken between a piece of plastic wrap or parchment and pound to an even thickness. Season with salt and pepper. Grill for 5-6 minutes, turn and grill for an additional 5-6 minutes more, or until chicken is cooked through. Allow chicken to rest for 5 minutes, then slice thin.Meanwhile, in a large bowl, combine greens, bell pepper, carrots and jicama. Add peanut sauce, vinaigrette and chicken and gently toss to combine. Divide the salad among 4 bowls and top each with 2 tablespoons tortilla strips. Serve immediately.",Houston’s Grilled Chicken Salad
" To prepare frosting, beat together cream cheese, powdered sugar and vanilla until smooth. Refrigerate until ready to use. Preheat oven to 350F. Spray bottom of 13x9x2-inch nonstick metal pan with cooking spray. In a large bowl, combine flour, baking soda, salt, and spices; stir well with a whisk. In a medium bowl, combine honey, oil, eggs, and vanilla; stir well. Add zucchini, banana and pineapple; mix well. Fold wet ingredients with the dry ingredients and mix well with a spatula until combined. Spoon batter into the sheet pan. Bake at 350F for about 45 minutes, or until a wooden toothpick inserted in the center comes out clean. Cool completely on a wire rack.Spread frosting over the cake once cooled and cut into 16 pieces.",Zucchini Banana Cake with Cream Cheese Frosting
" To make the pesto: In a food processor, pulse basil, spinach and arugula mix, garlic, parmesan cheese, salt and pepper until smooth. Slowly add the olive oil while pulsing. Place couscous in a medium, heat-proof bowl. Add boiling water and 1/4 teaspoon salt. Cover. Let stand for 5 minutes or until liquid has been absorbed. Fluff couscous with a fork to separate grains. Add 2 tablespoons of the pesto. Toss to combine and set aside. Pound the thicker end of the chicken to make both sides leveled out so they cook evenly. Spritz with oil and season with 1/2 teaspoon salt and black pepper. Heat a grill or grill pan on medium-high heat. Spritz the zucchini and tomato all over with olive oil, season with salt and pepper. Cook zucchini, in batches, for 2 to 3 minutes each side or until tender. Transfer to a baking sheet. Cover to keep warm. Add tomato to the grill. Cook, turning, for 1 to 2 minutes or until softened. Cook the chicken 3 to 4 minutes each side or until browned and cooked through. Slice. Divide couscous between 4 plates, 3/4 cup each.Top with vegetables and chicken. Drizzle with remaining pesto. Serve.",Grilled Pesto Chicken Couscous Bowls
" Preheat the oven to 350F. Spread the almonds, walnuts or pecans on a large, rimmed baking sheet and toast the almonds about 10 minutes, mixing halfway. (Dont let them get dark). Let them cool about 10 minutes when they are warm, not hot. Transfer the nuts to a high-speed blender or food processor. Blend until creamy, scraping down the sides as necessary. Be patient, it may seem like it will never turn to butter, but it will! It will go from clumps, to a ball against the side of the food processor (keep scraping the sides), then finally it will turn very creamy. If the mixture gets too hot, stop and let it cool down for a few minutes. Once the nut butter is very creamy, blend in the salt. If you wish to add additional flavors such as vanilla, cinnamon or honey, let the mixture cool, add the optional add ins and blend until creamy once again. Keep in mind, the texture will harden slightly if you add honey or maple syrup.Let the nut butter cool to room temperature, then transfer the mixture to a glass jar and tighten the lid. Store in the refrigerator for up to 3 to 4 weeks, or until you see any signs of spoilage.",How To Make Nut Butter
" For the butter: Place butter in a mixing bowl and use a rubber spatula to soften until it is very spreadable. Add remaining ingredients, and mix until thoroughly combined. Place compound butter on the center a sheet of a sheet of plastic wrap or parchment paper. Shape into a round log, and twist the ends to seal. Place butter in the refrigerator to harden, at least 30 to 60 minutes. Once solid, it will be easy to slice. For the Lobster: Place each tail, shell side up, on a cutting board. Using a large sharp knife, cut through the shell directly down the center, beginning at the tail and down to where the body use to be. Season the exposed meat with pinch of salt and fresh cracked black pepper, to taste and spritz with olive oil. Preheat grill to medium high, clean and oil the grates. To cook, place each tail half directly on the grate flesh side down and close the hood. Cook about 1 1/2 minutes, then turn 45 degrees (to cross-hatch), close the hood and grill for another 1 1/2 minutes. Remove the tails to a pan and spread each one with 1/2 tablespoon of butter. Return the tails to the grill, flesh side up. Close the hood and allow them to grill for another 3 to 5 minutes depending on the size, until the tail meat is opaque and firm to the touch.Remove the tails, serve with lemon wedges.",Grilled Lobster Tails with Herb Garlic Butter
" Place 1 inch of water in a large pot with 1 teaspoon salt and bring to a boil. Add the cauliflower and cook until tender, 8 to 10 minutes. Drain and set aside in a large bowl. Meanwhile, in a small bowl, combine the mayonnaise, mustard, dill, pinch of salt and pepper. Set aside. Chop 4 of the eggs and add to the bowl with the cauliflower. Slice the remaining two eggs for topping.Add pickle, celery, 1/4 teaspoon salt, pepper, and red onion. Add the mayo mixture and pickle juice to the cauliflower and toss gently to evenly coat. Garnish with remaining sliced eggs and sprinkle with paprika.",Low Carb Potato Salad
" Set the grill to medium-high. Husk the corn. Grill 10 to 12 minutes, turning often, until charred in spots. Transfer to a cutting board and set aside to cool. Cut the kernels off the cobb. Put the corn, red onion and cheese in a medium salad bowl. Drizzle with the olive oil and toss.Add the fresh herbs and toss again. Taste and add salt and pepper. Serve.",Grilled Corn Salad with Feta
" In a medium-size bowl, combine the soy sauce, honey, vegetable oil, sesame oil, garlic, ginger, black pepper, red chili pepper and green onions. Remove 1/4 cup (60 ml) of the marinade and combine with the rice vinegar in a small bowl. Cover and refrigerate. Place the remaining marinade and steak in a 1-gallon (3.6-L) resealable bag. Remove as much air as possible and seal the bag. Refrigerate for at least 1 hour by laying the steak flat, and flipping the bag after 30 minutes. The steak can be marinated in the refrigerator for up to 12 hours. Remove the steak from the marinade, drain any excess liquid and transfer to a pan. Discard the marinating bag. Set the grill to high. Add a small amount of oil on a folded piece of paper towel, carefully greasing the grill with the oil. Allow the grill to preheat for 15 minutes, and once the grill is very hot, add the steak. Cover and cook the steak until well browned, about 4 to 5 minutes, then flip and cook until desired doneness, about 3 to 4 minutes. For medium rare, cook the steak until the internal temperature reaches between 120 and 125F (49 and 52C). For medium, cook between 130 and 135F (54 and 57C). Transfer the steak to a cutting board and allow to rest for 10 minutes.Slice the steak against the grain into 1/4-inch (6-mm) thick slices. Pour the reserved marinade on top and serve hot.",Soy Marinated Flank Steak
"
For the meat:
 Brown turkey in a large skillet breaking it into smaller pieces as it cooks. When no longer pink add dry seasoning and mix well. Add the onion, pepper, water and tomato sauce and cover. Simmer on low for about 15 minutes, uncover and simmer until dry, about 8 to 12 minutes. You dont want any liquid remaining, it will make the dough soggy.
For the dough:
 Preheat oven to 375F. Place parchment paper or a silpat on a baking sheet. If using parchment paper, spray with oil to avoid sticking. In a medium bowl combine the flour, baking powder and salt and whisk well. Add the yogurt and mix with a fork or spatula until well combined, it will look like small crumbles. Lightly dust flour on a work surface and remove dough from the bowl, knead the dough a few times until dough is tacky, but not sticky, about 15 turns (it should not leave dough on your hand when you pull away). Place on a floured work surface and roll the dough out until its very thin. Cut circles about 4-3/4 inches (I used a small work bowl turned upside down) cut out as many rounds as you can. With the remaining dough, roll out and form into more rounds. I got 10 altogether. Place 2 tablespoons of the meat mixture on each round topped with 1/2 tablespoon cheese. Brush the edges with egg wash then fold the edge over and crimp with a fork. Transfer to the baking sheet and brush the tops with egg wash.Bake in the center of the oven for 22 minutes, or until golden",Taco Empanadas
" Whisk the grated garlic, salt, oil in a medium bowl. Add shrimp, toss to coat, and chill, uncovered, at least 30 minutes and up to 1 hour. Make foil packets. Tear off 4 16 sheets of Reynolds Wrap Heavy-Duty Aluminum Foil. Place 10 shrimp on the center of each foil sheet. Top each with remaining garlic slices, 1 tablespoon wine, lemon juice, pinch red pepper flakes and 1/2 tablespoon melted butter over each.Bring up the long sides of the foil, so the ends meet over the food. Double fold the ends, leaving room for heat to circulate inside. Double fold the two short ends to seal the packet Grill over high heat, 8 minutes. Use gloves or tongs to remove and carefully open. Top with chopped parsley. Serve with lemon wedges.(To bake in the oven, preheat oven to 425F and cook about 10 minutes.)",Shrimp Scampi Foil Packets
" In a medium skillet over medium heat, add the oil, leeks, onions and garlic and cook 4 minutes, until soft. Meanwhile, chop the potato into 1/8th inch dice. The best way to do this is slice them into 1/8th inch strips, then cut the strips into small cubes. Add the potatoes, salt and 2 tablespoons of water, cover and cook medium-low heat until soft, about 10 minutes. Add the broccoli, 2 more tablespoons of water and cook covered 15 minutes, stirring occasionally, until tender. Let cool 10 minutes. Add the cheese and roll into 4 balls, about 1/2 cup (3 1/2 ounces) each. Flatten to form cakes.To cook, heat a large skillet over medium heat, cook 4 to 5 minutes until the bottom is golden, gently flip and cook and additional 4 to 5 minutes. You can freeze whatever you dont eat. To reheat from frozen, bake in 390F preheated oven 25 minutes.",Potato and Broccoli Cakes
" Bring a skillet sprayed with nonstick spray to medium-high heat. Sprinkle chicken with seasonings, and cook for about 4 minutes per side, until cooked through. Once cool enough to handle, roughly chop. In a small bowl, coat chicken with BBQ sauce. Lay tortilla flat, and spread BBQ chicken onto one half. Top chicken with remaining ingredients. Clean skillet, if needed. Respray and return to medium-high heat. Cook the half-loaded tortilla for 2 minutes. Fold the bare tortilla half over the filling with a spatula, and press lightly to seal. Carefully flip and cook until crispy, about 3 minutes.Slice into wedges.",BBQ Chicken Quesadilla
" Remove the chicken legs, wings and thighs from the rotisserie chicken and set aside for another meal. Remove the skin from the 2 breasts and remove the meat from the bones. Break the chicken into chunks with your hands or a knife and place into a large bowl. Add the fresh dill, lemon juice, lemon zest, olive oil and salt.Refrigerate until ready to eat.",Chicken Salad with Lemon and Dill
" Preheat the oven to 375F. Spray a 9 x 13 baking dish with oil. Place 1 cup of cheese into the baking dish. Heat the oil in a large nonstick skillet over medium heat; add scallions, mushrooms and red pepper and saute until vegetables are tender, about 5 to 6 minutes. Add the tomatoes and cook 2 - 3 minutes. Add the ham and broccoli and remove from heat. Spread evenly over the cheese mixture. In a large bowl combine the eggs, egg whites, milk, salt and pepper and whisk well. Slowly pour over the vegetables in the baking dish and top with remaining cheese.Bake until a knife inserted near the center comes out clean, 32 to 35 minutes. Let stand 8 to 10 minutes before cutting into 12 pieces.",Veggie Ham and Cheese Egg Bake
" Over high heat, brown the turkey in a large skillet breaking it into smaller pieces as it cooks, about 5 minutes. When no longer pink add 1 teaspoon salt and the dry seasoning and mix well. Add the onion, pepper, water and tomato sauce and cover. Simmer on low for about 15 minutes. Remove the cover and add the cauliflower, add 1/4 teaspoon salt and cook until tender, about 8 minutes.Transfer to a plate and serve with avocado, lettuce, salsa and lime.",Skillet Taco Cauliflower Rice
" Preheat oven to 350 degrees Farenheit. Roll the dough out on a well-floured work surface until its approximately 11 to 12-inches in diameter. Transfer it to a 9-inch metal or glass pie dish. Using your fingers, press it firmly into the bottom and sides of the pie plate. Trim off any excess, leaving about 1/2-inch overhanging. Then fold/crimp the overhanging dough. Prick the bottom of the pie crust with the tines of a fork. Transfer the pie crust to your pre-heated oven and bake for 10 to 15 minutes, until par-baked. Meanwhile in a large mixing bowl combine eggs with spinach, milk, 2 tablespoons parmesan cheese, basil and salt; mix well. Pour mixture into the par-baked pie crust. In a small bowl combine ricotta with mozzarella and remaining parmesan. Dollop the ricotta all around and top and place tomatoes around the cheese. Place foil on the edges of the crust to prevent them from burning. Place quiche on cookie sheet and bake on the middle oven rack for 50 to 55 minutes, or until top is browned and a knife inserted in center comes out clean.Let cool before serving.",Spinach Ricotta Quiche
" Preheat the oven to 350F. Prepare an 8-inch square glass or ceramic baking dish pan by lightly spraying the inside with baking spray. Make a sling: Cut 2 sheets of parchment paper 15 x 15 inches each. Fold them in half so they are 7 1/2 x 15 inches, which will make them sturdier., Line the pan with the 2 long sheets of parchment paper placed perpendicular to each other in the pan. This is so you can get the bars out after they are cooked, so dont skip this step. They should be long enough to hang over the sides to use as handles to lift out the baked lemon bars before cutting., Spray the inside of the parchment with baking spray. For the crust: In a food processor combine the flours, brown sugar, cornstarch, lemon zest, baking powder and salt and process until well combined., Add the butter and yogurt to the flour mixture at once and pulse at least a dozen times before turning out into the prepared pan and pressing into an even layer and up the sides of the dish about 1/4-inch so the filling doesnt spill out., Bake until evenly browned about 30 minutes. Shut the oven off and cool the crust on a metal rack for at least 20 minutes. Once cooled, heat the oven to 325F.Prepare the filling in a medium bowl by whisking together the eggs, honey and lemon zest. Add the flour 1 tablespoon at a time, and the salt and mix well. (this is best to prepare just before baking) Stir in the lemon juice and pour over the cooled crust. Bake until filling is set, about 22 to 25 minutes. Cool completely before lifting the bars out of the pan with the parchment. For best results, refrigerate overnight for a firmer topping. Cut into 12 squares using a clean hot knife, clean in between slices.Dust with confectioners sugar just before serving.",Honey Lemon Bars
" Preheat oven to 400 degrees F. On a large sheet pan, toss broccoli, squash and onions with olive oil, salt and pepper, to taste. Spread veggies out in an even layer and roast for 20-25 minutes, or until crisp tender. Meanwhile, heat a medium skillet over medium-low heat and lightly spray with oil. Add eggs, one at a time, leaving space between them. Season each with a pinch of salt and pepper, cover and cook until whites are just set and yolk is still runny. Divide rice and roasted veggies evenly among 4 bowls. Top each with 1 ounce avocado and 1 egg and 1 tablespoon pecans.Serve immediately.",Heather’s Buddha Bowl
" Dice the stems of the chard, and slice the leaves. Heat a large skillet on medium-low heat; heat the butter and oil until melted. Add the onions with a pinch of salt and pepper. Cook, stirring occasionally until the onions become translucent, about 5 minutes. Bring the heat up to medium-high, and add the stems with 1/4 cup water, cover and cook until soft, about 8 to 10 minutes. Add the chard leaves with 1/2 teaspoon salt; cook until wilted, about 2-3 minutes. Set aside on a dish and keep warm. To the skillet on medium-high heat, add the ham and cook until lightly browned on each side, about 1 minute. Set aside. Crack eggs into individual small cups or ramekins. Bring a pot of water to a boil. Add vinegar and salt. Reduce to simmer. Use a spoon to stir the water so it is spinning around in a circle. This will keep the egg whites from spreading out away from the yolk. Carefully drop eggs one at a time into the center of the pot. Simmer for 2 minutes then turn off the heat. Cover and let sit for 2 more minutes. Gently remove eggs with a slotted spoon and place on plate lined with paper towels. Divide the muffin half among 4 plates.Top each muffin half with a piece of ham, 1/4 of the chard and top with 1 egg.",Swiss Chard Eggs Benedict
